id;message_key;translated_text;language_id;created_at;updated_at
1;pnp_1;DNPZ: Douleurs neuropathiques post-zostériennes;2;;
2;pnp_2;DNOD : Douleurs neuropathiques d’origine diabétique;2;;
3;pnp_3;DN-VIH: Douleurs neuropathiques liées au VIH;2;;
4;pnp_4;DNPO: Douleurs neuropathiques post-opératoires;2;;
5;pnp_5;DNPT: Douleurs neuropathiques post-traumatiques;2;;
6;pnp_6;DNCI: Douleurs neuropathiques chimio-induites;2;;
7;other;Autre;2;;
8;pain_area_left_anterior_neck;zone antérieure gauche de la nuque;2;;
9;pain_area_central_anterior_neck;zone antérieure centrale de la nuque;2;;
10;pain_area_right_anterior_neck;zone antérieure droite de la nuque;2;;
11;pain_area_central_posterior_neck;zone postérieure centrale de la nuque;2;;
12;pain_area_left_upper_chest;zone supérieure gauche du thorax;2;;
13;pain_area_right_upper_chest;zone supérieure droite du thorax;2;;
14;pain_area_left_trapezius;trapèze gauche;2;;
15;pain_area_right_trapezius;trapèze droit;2;;
16;pain_area_left_scapula;omoplate gauche;2;;
17;pain_area_right_scapula;omoplate droite;2;;
18;pain_area_right_lower_chest;zone inférieure droite du thorax;2;;
19;pain_area_left_lower_chest;zone inférieure gauche du thorax;2;;
20;pain_area_left_flank;flanc gauche;2;;
21;pain_area_right_flank;flanc droit;2;;
22;pain_area_right_lower_quadrant;quadrant inférieur droit;2;;
23;pain_area_left_lower_quadrant;quadrant inférieur gauche;2;;
24;pain_area_left_lower_lumbar;lombaire inférieure gauche;2;;
25;pain_area_right_lower_lumbar;lombaire inférieure droite;2;;
26;pain_area_left_posterior;postérieur gauche;2;;
27;pain_area_right_posterior;postérieur droit;2;;
28;pain_area_left_anterior_shoulder;zone antérieure de l'épaule gauche;2;;
29;pain_area_left_upper_arm;haut du bras gauche;2;;
30;pain_area_left_forearm;avant-bras gauche;2;;
31;pain_area_right_anterior_shoulder;zone antérieure de l'épaule droite;2;;
32;pain_area_right_upper_arm;haut du bras droit;2;;
33;pain_area_right_forearm;avant-bras droit;2;;
34;pain_area_left_posterior_shoulder;zone postérieure de l'épaule gauche;2;;
35;pain_area_left_posterior_upper_arm;zone postérieure du haut du bras gauche;2;;
36;pain_area_left_posterior_elbow;zone postérieure du coude gauche;2;;
37;pain_area_left_posterior_forearm;zone postérieure de l'avant-bras gauche;2;;
38;pain_area_right_posterior_shoulder;zone postérieure de l'épaule droite;2;;
39;pain_area_right_posterior_upper_arm;zone postérieure du haut du bras droite;2;;
40;pain_area_right_posterior_elbow;zone postérieure du coude droit;2;;
41;pain_area_right_posterior_forearm;zone postérieure de l'avant-bras droit;2;;
42;pain_area_left_superior_wrist;zone supérieure du poignet gauche;2;;
43;pain_area_left_dorsal_mid_hand;dos de la main gauche;2;;
44;pain_area_left_dorsal_fingers;dos des doigts gauches;2;;
45;pain_area_right_superior_wrist;zone supérieure du poignet droit;2;;
46;pain_area_right_dorsal_mid-hand;dos de la main droite;2;;
47;pain_area_right_dorsal_fingers;dos des doigts droits;2;;
48;pain_area_left_inferior_wrist;zone inférieure du poignet gauche;2;;
49;pain_area_left_palmar_mid-hand;paume gauche;2;;
50;pain_area_left_palmar_fingers;face des doigts gauches;2;;
51;pain_area_right_inferior_wrist;zone inférieure du poignet droit;2;;
52;pain_area_right_palmar_mid-hand;paume droite;2;;
53;pain_area_right_palmar_fingers;face des doigts droits;2;;
54;pain_area_left_anterior_lateral_upper_leg;zone antérieure latérale de la cuisse gauche;2;;
55;pain_area_left_anterior_medial_upper_leg;zone antérieure médiale de la cuisse gauche;2;;
56;pain_area_left_anterior_knee;zone antérieure du genou gauche;2;;
57;pain_area_left_anterior_lower_leg;zone antérieure du mollet gauche;2;;
58;pain_area_right_anterior_lateral_upper_leg;zone antérieure latérale de la cuisse droite;2;;
59;pain_area_right_anterior_medial_upper_leg;zone antérieure médiale de la cuisse droite;2;;
60;pain_area_right_anterior_knee;zone antérieure droite du cou;2;;
61;pain_area_right_anterior_lower_leg;zone antérieure du mollet droit;2;;
62;pain_area_left_posterior_lateral_upper_leg;zone postérieure latérale de la cuisse gauche;2;;
63;pain_area_left_posterior_medial_upper_leg;zone postérieure médiale de la cuisse gauche;2;;
64;pain_area_left_posterior_lower_leg;zone postérieure du mollet gauche;2;;
65;pain_area_right_posterior_lateral_upper_leg;zone postérieure latérale de la cuisse droite;2;;
66;pain_area_right_posterior_medial_upper_leg;zone postérieure médiale de la cuisse droite;2;;
67;pain_area_right_posterior_lower_leg;zone postérieure du mollet droit;2;;
68;pain_area_left_anterior_ankle;zone antérieure de la cheville gauche;2;;
69;pain_area_left_anterior_mid-foot;zone antérieure du dos du pied gauche;2;;
70;pain_area_left_superior_toes;zone supérieure des orteils gauches;2;;
71;pain_area_right_anterior_ankle;zone antérieure de la cheville droite;2;;
72;pain_area_right_anterior_mid-foot;zone antérieure du dos du pied droit;2;;
73;pain_area_right_superior_toes;zone supérieure des orteils droits;2;;
74;pain_area_left_posterior_ankle;zone postérieure de la cheville gauche;2;;
75;pain_area_left_plantar_heel_;plante du talon gauche ;2;;
76;pain_area_left_plantar_mid-foot;plante du pied gauche;2;;
77;pain_area_right_posterior_ankle;zone postérieure de la cheville droite;2;;
78;pain_area_right_plantar_heel_;plante du talon droit ;2;;
79;pain_area_right_plantar_mid-foot;plante du pied droit;2;;
80;pain_area_upper_thoracic;zone supérieure du thorax;2;;
81;pain_area_mid_thoracic;zone centrale du thorax;2;;
82;pain_area_lower_thoracic;zone inférieure du thorax;2;;
83;pain_area_lumbar;lombaire;2;;
84;medication_1;Antiépileptiques;2;;
85;medication_2;Antidépresseurs;2;;
86;medication_3;Traitement topique;2;;
87;medication_4;Opioïdes;2;;
88;medication_no_treatment;Pas de traitement;2;;
89;neck;Cou;2;;
90;chest_left;Poitrine gauche;2;;
91;chest_right;Poitrine droite ;2;;
92;back_and_flank_left;Dos et flanc gauche ;2;;
93;back_and_flank_right;Dos et flanc droit;2;;
94;hand_and_forearm_right;Main et avant-bras droit ;2;;
95;arm_left;Bras gauche;2;;
96;arm_right;Bras droit;2;;
97;hand_and_Forearm_left;Main et avant-bras gauche ;2;;
98;leg_left;Jambe gauche;2;;
99;leg_right;Jambe droite ;2;;
100;foot_left;Pied gauche;2;;
101;foot_right;Pied droit;2;;
102;spine;Colonne vertébrale ;2;;
103;neck_type;COU;2;;
104;chest_type;POITRINE;2;;
105;back_and_flank_type;DOS ET FLANC;2;;
106;arm_and_hand_type;BRAS ET MAIN;2;;
107;leg_and_foot_type;JAMBES ET PIEDS;2;;
108;spine_type;COLONNE VERTEBRALE;2;;
109;survey_dn4;Questionnaire DN4;2;;
110;survey_nrs;Questionnaire NRS (échelle d’évaluation numérique);2;;
111;survey_npsi;NPSI;2;;
112;survey_pgic;PGIC;2;;
113;survey_eq5d;EQ-5D-5L;2;;
114;survey_mos;MOS;2;;
115;survey_npsi_cat_1_desc;Nous voudrions savoir si vous avez des douleurs spontanées, c’est-à-dire des douleurs en l’absence de toute stimulation. Pour chacune des questions suivantes, entourez le chiffre qui correspond le mieux à l'intensité de vos douleurs spontanées en moyenne au cours des 24 dernières heures.Entourez le chiffre 0 si vous n'avez pas ressenti ce type de douleur. (Veuillez n'entourer qu'un seul chiffre);2;;
116;survey_npsi_cat_2_desc;"Nous souhaiterions savoir si vous avez eu des douleurs fulgurantes brèves. Pour chacune des questions suivantes, veuillez sélectionner le chiffre qui correspond le mieux à l'intensité moyenne de vos douleurs fulgurantes au cours de ces dernières 24 h.

Sélectionnez le chiffre 0 si vous n'avez pas ressenti ce type de douleur (entourez un seul chiffre).";2;;
117;survey_npsi_cat_3_desc;Nous voudrions savoir si vous avez des crises douloureuses brèves. Pour chacune des questions suivantes, entourez le chiffre qui correspond le mieux à l'intensité de vos crises douloureuses en moyenne au cours des 24 dernières heures. Entourez le chiffre 0 si vous n'avez pas ressenti ce type de douleur. (Veuillez n'entourer qu'un seul chiffre);2;;
118;survey_npsi_cat_4_desc;Nous voudrions savoir si vous avez des sensations anormales dans la zone doulourouse. Pour chacune des questions suivantes, entourez le chiffre qui correspond le mieux à l'intensité de vos sensations anormales en moyenne au cours des 24 dernières heures. Entourez le chiffre 0 si vous n'avez pas ressenti ce type de sensation.(Veuillez n'entourer qu'un seul chiffre);2;;
119;survey_eq5d_cat_1_desc;"Pour chaque rubrique, veuillez cocher UNE case, celle qui décrit le mieux votre santé
AUJOURD’HUI.";2;;
120;survey_eq5d_cat_2_desc;"A l’aide du button ci-dessous, veuillez cocher UNE case, celle qui décrit le mieux votre santé
AUJOURD’HUI.";2;;
121;survey_mos_cat_1_desc;Pour chacune des questions suivantes, sélectionnez l’option qui correspond le mieux à votre réponse. ;2;;
122;survey_mos_cat_2_desc;Pour chacune des questions suivantes, sélectionnez l’option qui correspond le mieux à votre réponse. ;2;;
123;survey_dn4_cat_1_q_1;La douleur présente-t-elle une ou plusieurs des caractéristiques suivantes ?;2;;
124;survey_dn4_cat_1_q_2;La douleur est-elle associée dans la même région à un ou plusieurs des syptômes suivants :;2;;
125;survey_dn4_cat_2_q_1;La douleur est-elle localisée dans un territoire ou l’examen met en évidence :;2;;
126;survey_dn4_cat_2_q_2;La douleur est-elle provoquée ou augmentée par :;2;;
127;survey_nrs_cat_1_q_1;Veuillez sélectionner le chiffre qui représente le mieux l'<b>intensité actuelle de votre douleur</b> sur une échelle de 0 à 10 où 0 = aucune douleur et 10 = la douleur la plus intense imaginable.;2;;
128;survey_npsi_cat_1_q_1;Q1 - Votre douleur est-elle comme une brulûre ?;2;;
129;survey_npsi_cat_1_q_2;Q2 - Votre douleur est-elle comme un étau ?;2;;
130;survey_npsi_cat_1_q_3;Q3 - Votre douleur est-elle comme une compression ?;2;;
131;survey_npsi_cat_1_q_4;Q4 - Au cours des dernières 24 heures, vos douleurs spontanées ont été présentes: Veuillez cocher la réponse qui correspond le mieux à votre état;2;;
132;survey_npsi_cat_2_q_1;Q5 - Avez-vous des crises douloureuses comme des décharges électriques ?;2;;
133;survey_npsi_cat_2_q_2;Q6 - Avez-vous des crises douloureuses comme des coups de couteau ?;2;;
134;survey_npsi_cat_2_q_3;Q7 - Au cours des dernières 24 heures, combien de ces crises douloureuses avez-vous présenté ? Veuillez cocher la réponse qui correspond le mieux à votre état;2;;
135;survey_npsi_cat_3_q_1;Q8 - Avez-vous des douleurs provoquées ou augmentées par le frottement sur la zone douloureuse ?;2;;
136;survey_npsi_cat_3_q_2;Q9 - Avez-vous des douleurs provoquées ou augmentées par la pression sur la zone douloureuse ?;2;;
137;survey_npsi_cat_4_q_1;Q10 - Avez-vous des douleurs provoquées ou augmentées par le contact avec un objet froid sur la zone douloureuse ?;2;;
138;survey_npsi_cat_4_q_2;Q11 - Avez-vous des picotements ?;2;;
139;survey_npsi_cat_4_q_3;Q12 - Avez-vous des fourmillements ?;2;;
140;survey_pgic_cat_1_q_1;Impression globale du changement chez le patient;2;;
141;survey_eq5d_cat_1_q_1;MOBILITÉ;2;;
142;survey_eq5d_cat_1_q_2;AUTONOMIE DE LA PERSONNE;2;;
143;survey_eq5d_cat_1_q_3;ACTIVITÉS COURANTES (p. ex., travail, études, travaux domestiques, activités familiales ou loisirs);2;;
144;survey_eq5d_cat_1_q_4;DOULEURS / GÊNE;2;;
145;survey_eq5d_cat_1_q_5;ANXIÉTÉ / DÉPRESSION;2;;
146;survey_eq5d_cat_2_q_1;"Nous aimerions savoir dans quelle mesure votre santé est
bonne ou mauvaise AUJOURD’HUI.
Cette échelle est numérotée de 0 à 100.
100 correspond à la meilleure santé que vous puissiez imaginer.
0 correspond à la pire santé que vous puissiez imaginer.";2;;
147;survey_mos_cat_1_q_1;Au cours de cette dernière semaine, combien de temps avez-vous mis en général pour vous endormir ? ;2;;
148;survey_mos_cat_1_q_2;Au cours de cette dernière semaine, combien d'heures en moyenne avez-vous dormi chaque nuit ? Appuyez sur le triangle bleu ci-dessous pour sélectionner le nombre d'heures par nuit. ;2;;
149;survey_mos_cat_2_q_1;"Au cours de cette dernière semaine, avec quelle fréquence...
avez-vous eu l'impression de ne pas avoir un sommeil paisible (être agité(e), être tendu(e), parler, etc. pendant le sommeil) ? ";2;;
150;survey_mos_cat_2_q_2;"Au cours de cette dernière semaine, avec quelle fréquence...
avez-vous dormi suffisamment pour vous sentir reposé(e) au réveil, le matin ? ";2;;
151;survey_mos_cat_2_q_3;"Au cours de cette dernière semaine, avec quelle fréquence...
vous êtes-vous réveillé(e) essoufflé(e) ou avec des maux de tête ? ";2;;
152;survey_mos_cat_2_q_4;"Au cours de cette dernière semaine, avec quelle fréquence...
vous êtes-vous senti(e) somnolent(e) ou avez-vous eu envie de dormir au cours de la journée ? ";2;;
153;survey_mos_cat_2_q_5;"Au cours de cette dernière semaine, avec quelle fréquence...
avez-vous eu du mal à vous endormir ? ";2;;
154;survey_mos_cat_2_q_6;"Au cours de cette dernière semaine, avec quelle fréquence...
vous êtes-vous réveillé(e) durant votre sommeil et avez-vous eu du mal à vous rendormir ? ";2;;
155;survey_mos_cat_2_q_7;"Au cours de cette dernière semaine, avec quelle fréquence...
avez-vous eu du mal à rester éveillé(e) pendant la journée ? ";2;;
156;survey_mos_cat_2_q_8;"Au cours de cette dernière semaine, avec quelle fréquence...
avez-vous ronflé pendant votre sommeil ? ";2;;
157;survey_mos_cat_2_q_9;"Au cours de cette dernière semaine, avec quelle fréquence...
avez-vous fait des petits sommes (de 5 minutes ou plus) pendant la journée ?";2;;
158;survey_mos_cat_2_q_10;"Au cours de cette dernière semaine, avec quelle fréquence...
avez-vous dormi autant que vous en aviez besoin ? ";2;;
159;survey_mos_cat_2_q_11;dormi le nombre d'heures nécessaires ?;2;;
160;burning;Brûlure;2;;
161;painful_cold;Sensation de froid douloureux;2;;
162;electric_shocks;Décharges électriques;2;;
163;tingling;Fourmillements;2;;
164;pins_and_needles;Picotements;2;;
165;numbness;Engourdissements;2;;
166;itching;Démangeaisons;2;;
167;hypoesthesia_to_touch;Hypoesthésie au toucher;2;;
168;hypoesthesia_to_pinprick;Hypoesthésie à la piqûre;2;;
169;brushing;Le frottement;2;;
170;permanently;En permanence;2;;
171;between_8_and_12;Entre 8 et 12 heures;2;;
172;between_4_and_7;Entre 4 et 7 heures;2;;
173;between_1_and_3;Entre 1 et 3 heures;2;;
174;less_than_1_h;Moins d’1 heure;2;;
175;More than 20;Plus de 20;2;;
176;between_11_and_20;Entre 11 et 20;2;;
177;between_6_and_10;Entre 6 et 10;2;;
178;between_1_and_5;Entre 1 et 5;2;;
179;no_pain_attack;Pas de crise douloureuse ;2;;
180;very_much_improved;Extrêmement améliorée;2;;
181;much_improved;Beaucoup améliorée;2;;
182;minimally_improved;Peu améliorée;2;;
183;no_change;Pas de changement;2;;
184;minimally_worsened;Peu aggravée;2;;
185;much_worsened;Beaucoup aggravée;2;;
186;very_much_worsened;Extrêmement aggravée;2;;
187;i_have_no_problems_in_walking_about;Je n’ai aucun problème pour me déplacer à pied;2;;
188;i_have_some_problems_in_walking_about;J’ai des problèmes légers pour me déplacer à pied;2;;
189;i_am_confined_to_bed;J’ai des problèmes modérés pour me déplacer à pied;2;;
190;i_have_no_problems_with_self-care;Je n’ai aucun problème pour me laver ou m’habiller tout(e) seul(e);2;;
191;i_have_some_problems_washing_or_dressing_myself;J’ai des problèmes légers pour me laver ou m’habiller tout(e) seul(e);2;;
192;i_am_unable_to_wash_or_dress_myself;J’ai des problèmes modérés pour me laver ou m’habiller tout(e) seul(e);2;;
193;i_have_no_problems;Je n’ai aucun problème pour accomplir mes activités courantes;2;;
194;i_have_some_problems;J’ai des problèmes légers pour accomplir mes activités courantes;2;;
195;i_am_unable_to_perform_my_usual_activities;J’ai des problèmes modérés pour accomplir mes activités courantes;2;;
196;i_have_no_pain_or_discomfort;Je n’ai ni douleur ni gêne;2;;
197;i_have_moderate_pain_or_discomfort;J’ai des douleurs ou une gêne légère(s);2;;
198;i_have_extreme_pain_or_discomfort;J’ai des douleurs ou une gêne modérée(s);2;;
199;i_am_not_anxious_or_depressed;Je ne suis ni anxieux(se) ni déprimé(e);2;;
200;i_am_moderately_anxious_or_depressed;Je suis légèrement anxieux(se) ou déprimé(e);2;;
201;i_am_extremely_anxious_or_depressed;Je suis modérément anxieux(se) ou déprimé(e);2;;
202;0-15_minutes;0-15 minutes;2;;
203;16-30_minutes;16-30 minutes;2;;
204;31-45_minutes;31-45 minutes;2;;
205;46-60_minutes;46-60 minutes;2;;
206;more_than_60_minutes;Plus de 60 minutes;2;;
207;all_of_the_time;En permanence ;2;;
208;most_of_the_time;Très souvent ;2;;
209;a_good_bit_of_the_time;Quelquefois ;2;;
210;some_of_the_time;Rarement;2;;
211;a_little_of_the_time;Jamais;2;;
212;none_of_the_time;Jamais;2;;
213;no_pain;Aucune douleur ;2;;
214;worst_pain_imaginable;Douleur maximale imaginable ;2;;
215;pain_as_intense;Une douleur aussi intense que vous pouviez l'imaginer;2;;
216;no_burning;Aucune brulûre ;2;;
217;pnp_1;PHN:  Post Herpetic Neuralgia;1;;
218;pnp_2;pDPN: painful Diabetic Peripheral Neuropathy;1;;
219;pnp_3;HIV-PN:  HIV associated painful Peripheral Neuropathy;1;;
220;pnp_4;PSNP: Post-Surgical Neuropathic Pain;1;;
221;pnp_5;PTNP : Post-Traumatic Neuropathic Pain;1;;
222;pnp_6;CIPN: Chemotherapy-Induced Peripheral Neuropathy;1;;
223;other;Other;1;;
224;pain_area_left_anterior_neck;left anterior neck;1;;
225;pain_area_central_anterior_neck;central anterior neck;1;;
226;pain_area_right_anterior_neck;right anterior neck;1;;
227;pain_area_central_posterior_neck;central posterior neck;1;;
228;pain_area_left_upper_chest;left upper chest;1;;
229;pain_area_right_upper_chest;right upper chest;1;;
230;pain_area_left_trapezius;left trapezius;1;;
231;pain_area_right_trapezius;right trapezius;1;;
232;pain_area_left_scapula;left scapula;1;;
233;pain_area_right_scapula;right scapula;1;;
234;pain_area_right_lower_chest;right lower chest;1;;
235;pain_area_left_lower_chest;left lower chest;1;;
236;pain_area_left_flank;left side;1;;
237;pain_area_right_flank;right side;1;;
238;pain_area_right_lower_quadrant;right lower quadrant;1;;
239;pain_area_left_lower_quadrant;left lower quadrant;1;;
240;pain_area_left_lower_lumbar;left lower lumbar;1;;
241;pain_area_right_lower_lumbar;right lower lumbar;1;;
242;pain_area_left_posterior;left posterior;1;;
243;pain_area_right_posterior;right posterior;1;;
244;pain_area_left_anterior_shoulder;left anterior shoulder;1;;
245;pain_area_left_upper_arm;left upper arm;1;;
246;pain_area_left_forearm;left forearm;1;;
247;pain_area_right_anterior_shoulder;right anterior shoulder;1;;
248;pain_area_right_upper_arm;right upper arm;1;;
249;pain_area_right_forearm;right forearm;1;;
250;pain_area_left_posterior_shoulder;left posterior shoulder;1;;
251;pain_area_left_posterior_upper_arm;left posterior upper arm;1;;
252;pain_area_left_posterior_elbow;left posterior elbow;1;;
253;pain_area_left_posterior_forearm;left posterior forearm;1;;
254;pain_area_right_posterior_shoulder;right posterior shoulder;1;;
255;pain_area_right_posterior_upper_arm;right posterior upper arm;1;;
256;pain_area_right_posterior_elbow;right posterior elbow;1;;
257;pain_area_right_posterior_forearm;right posterior forearm;1;;
258;pain_area_left_superior_wrist;left superior wrist;1;;
259;pain_area_left_dorsal_mid_hand;left dorsal mid hand;1;;
260;pain_area_left_dorsal_fingers;left dorsal fingers;1;;
261;pain_area_right_superior_wrist;right superior wrist;1;;
